# MicroC 2D Cell States - Step 1
# Generated: 2025-11-12T14:52:54.319322
# Cell count: 9
# Cell size: 20.0 um
# Coordinate system: logical grid positions
cell_id,x,y,phenotype,age,generation,gene_EGFR_stimulus,gene_FGFR_stimulus,gene_TGFBR_stimulus,gene_DNA_damage,gene_Apoptosis,gene_Growth_Arrest,gene_Proliferation,gene_ERK,gene_p38,gene_JNK,gene_p53,gene_p21,gene_TGFBR,gene_EGFR,gene_FGFR,gene_ATM,gene_TAOK,gene_MAX,gene_GRB2,gene_FRS2,gene_PI3K,gene_AP1,gene_PPP2CA,gene_MEK1_2,gene_DUSP1,gene_MYC,gene_AKT,gene_PLCG,gene_PKC,gene_GADD45,gene_ELK1,gene_FOS,gene_ATF2,gene_JUN,gene_MSK,gene_CREB,gene_RSK,gene_SMAD,gene_MTK1,gene_SPRY,gene_RAF,gene_GAB1,gene_PDK1,gene_p70,gene_p14,gene_FOXO3,gene_RAS,gene_SOS,gene_MDM2,gene_BCL2,gene_TAK1,gene_MAP3K1_3,gene_PTEN,gene_HIF1,gene_LOX,gene_VEGF,gene_Oxygen_supply,gene_Necrosis,gene_FGF,gene_TGFA,gene_EGFRI,gene_EGFRD,gene_FGFRI,gene_FGFRD,gene_Glucose,gene_Glucose_supply,gene_GLUT1,gene_Growth_Inhibitor,gene_GI,gene_EGFRI_affinity,gene_Cell_Glucose,gene_G6P,gene_F6P,gene_F16BP,gene_GA3P,gene_BPG,gene_PG3,gene_PG2,gene_PEP,gene_Pyruvate,gene_Cell_Lactate,gene_AcetylCoA,gene_TCA,gene_ETC,gene_mitoATP,gene_PDH,gene_LDHA,gene_cMET,gene_cMET_stimulus,gene_cMETI,gene_HGF,gene_cMETD,gene_glycoATP,gene_ATP_Production_Rate,gene_MCT4,gene_MCT1,gene_LDHB,gene_Lactate,gene_MCT1_stimulus,gene_Proton,gene_MCT1I,gene_MCT1D,gene_GLUT1I,gene_GLUT1D,gene_MCT4I,gene_MCT4D,gene_Proton_level
cell_000000,11.0,12.0,Growth_Arrest,0.2,0,true,true,false,true,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true
cell_000001,12.0,11.0,Growth_Arrest,0.2,0,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,true,false,true
cell_000002,12.0,12.0,Growth_Arrest,0.2,0,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true
cell_000003,12.0,13.0,Growth_Arrest,0.2,0,false,false,true,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true
cell_000004,13.0,12.0,Growth_Arrest,0.2,0,true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,true,true,true,true,true,false,true
cell_000005,10.0,12.0,Growth_Arrest,0.2,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,true
cell_000006,11.0,11.0,Growth_Arrest,0.2,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true
cell_000008,11.0,13.0,Growth_Arrest,0.2,0,false,true,true,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true
cell_000009,12.0,10.0,Growth_Arrest,0.2,0,false,false,true,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,true
