# origin=center, cell_size_um=20.0, domain_size_um=1500.0, description="Same 1000-cell spheroid positions as initial_cells_1000_center_1500.csv with every cell Quiescent / glycoATP ON / mitoATP OFF (stability search start state; Growth_Arrest would halve consumption in the metabolism node)"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
-7,3,Quiescent,false,true,false
7,3,Quiescent,false,true,false
-7,-3,Quiescent,false,true,false
3,7,Quiescent,false,true,false
-3,-7,Quiescent,false,true,false
5,-6,Quiescent,false,true,false
-5,6,Quiescent,false,true,false
6,-5,Quiescent,false,true,false
-6,5,Quiescent,false,true,false
6,5,Quiescent,false,true,false
-6,-5,Quiescent,false,true,false
5,6,Quiescent,false,true,false
-5,-6,Quiescent,false,true,false
8,0,Quiescent,false,true,false
-8,0,Quiescent,false,true,false
0,8,Quiescent,false,true,false
0,-8,Quiescent,false,true,false
1,-8,Quiescent,false,true,false
-1,8,Quiescent,false,true,false
4,-7,Quiescent,false,true,false
-4,7,Quiescent,false,true,false
7,-4,Quiescent,false,true,false
-7,4,Quiescent,false,true,false
8,-1,Quiescent,false,true,false
-8,1,Quiescent,false,true,false
8,1,Quiescent,false,true,false
-8,-1,Quiescent,false,true,false
7,4,Quiescent,false,true,false
-7,-4,Quiescent,false,true,false
4,7,Quiescent,false,true,false
-4,-7,Quiescent,false,true,false
1,8,Quiescent,false,true,false
-1,-8,Quiescent,false,true,false
2,-8,Quiescent,false,true,false
-2,8,Quiescent,false,true,false
8,-2,Quiescent,false,true,false
-8,2,Quiescent,false,true,false
8,2,Quiescent,false,true,false
-8,-2,Quiescent,false,true,false
2,8,Quiescent,false,true,false
-2,-8,Quiescent,false,true,false
6,-6,Quiescent,false,true,false
-6,6,Quiescent,false,true,false
6,6,Quiescent,false,true,false
-6,-6,Quiescent,false,true,false
3,-8,Quiescent,false,true,false
-3,8,Quiescent,false,true,false
8,-3,Quiescent,false,true,false
-8,3,Quiescent,false,true,false
8,3,Quiescent,false,true,false
-8,-3,Quiescent,false,true,false
3,8,Quiescent,false,true,false
